City_ID,Date,Country,City,Cloudiness,Humidity,Maximum_Temperature,Maximum_Temperature_F,Wind_Speed_kmh,Lat,Lng
362,2025-01-07 00:00:00,RU,Igarka,67,90,-13.67,7.393999999999998,6.38,67.4667,86.5833
273,2025-01-07 00:00:00,RU,Iskateley,24,99,-23.59,-10.462000000000003,4.15,67.6803,53.1512
558,2025-01-07 00:00:00,RU,Mamontovo,100,95,-11.55,11.21,2.34,52.7055,81.6244
425,2025-01-07 00:00:00,RU,Izhevsk,100,98,-15.18,4.675999999999998,2.41,56.85,53.2333
314,2025-01-07 00:00:00,RU,Kachug,98,100,-26.17,-15.106000000000009,0.7,53.9606,105.8817
549,2025-01-07 00:00:00,RU,Zhigalovo,99,100,-31.05,-23.89,0.42,54.8097,105.1578
235,2025-01-07 00:00:00,RU,Kargasok,99,98,-14.63,5.665999999999997,2.1,59.0556,80.8572
343,2025-01-07 00:00:00,RU,Khandyga,96,97,-32.77,-26.986000000000004,0.43,62.6667,135.6
100,2025-01-07 00:00:00,RU,Klyuchi,100,95,-11.49,11.318000000000001,2.64,52.2667,79.1667
113,2025-01-07 00:00:00,RU,Kokuy,100,94,-19.39,-2.902000000000001,1.47,52.2037,117.5529
126,2025-01-07 00:00:00,RU,Kolyshley,99,87,-9.36,15.152000000000001,4.53,52.7005,44.5367
345,2025-01-07 00:00:00,RU,Kudymkar,37,98,-18.12,-0.6159999999999997,2.95,59.0173,54.656
206,2025-01-07 00:00:00,RU,Nadym,11,80,-15.11,4.802,9.45,65.5333,72.5167
198,2025-01-07 00:00:00,RU,Nar'Yan-Mar,25,99,-23.69,-10.642000000000003,4.06,67.6713,53.087
86,2025-01-07 00:00:00,RU,Bodaybo,97,100,-29.74,-21.531999999999996,0.59,57.8506,114.1933
91,2025-01-07 00:00:00,RU,Bilibino,16,85,-34.79,-30.622,0.58,68.0546,166.4372
118,2025-01-07 00:00:00,RU,Polyarnyy,99,98,-15.17,4.693999999999999,4.25,69.1989,33.4478
123,2025-01-07 00:00:00,RU,Alakurtti,98,100,-26.01,-14.817999999999998,1.67,66.9672,30.3491
