id,city_id,date,country,city,cloudiness,humidity,maximum_temperature,maximum_temperature_f,wind_speed_kmh,lat,lng
91,480,2025-01-08,GA,Franceville,87,93,22.28,72.104,1.16,-1.6333,13.5836
92,305,2025-01-08,GQ,San Antonio De Pale,51,81,27.01,80.618,3.26,-1.4014,5.6325
93,20,2025-01-08,GS,Grytviken,44,53,8.34,47.012,2.27,-54.2811,-36.5092
94,426,2025-01-08,ID,Kuta,40,100,25.97,78.746,6.69,-8.7233,115.1723
95,124,2025-01-08,ID,Tual,88,73,28.61,83.498,2.53,-5.6667,132.75
96,302,2025-01-08,ID,Karaton,100,93,23.07,73.526,0.82,-6.3424,106.1045
97,304,2025-01-08,ID,Sinjai,99,88,23.8,74.84,1.94,-5.1241,120.253
98,272,2025-01-08,ID,Terbanggi Besar,100,97,23.54,74.372,3.24,-4.8667,105.2333
99,227,2025-01-08,MG,Tolanaro,75,74,28.04,82.472,0.0,-25.0319,46.9987
100,291,2025-01-08,MG,Belo Sur Tsiribihina,13,80,26.6,79.88,0.3,-19.7,44.55
101,237,2025-01-08,MG,Farafangana,0,83,25.69,78.242,3.92,-22.8167,47.8333
102,204,2025-01-08,MG,Tsiombe,28,89,24.82,76.676,1.22,-25.3,45.4833
103,14,2025-01-08,MU,Port Mathurin,27,85,26.47,79.646,8.82,-19.6833,63.4167
104,239,2025-01-08,MU,Beau Vallon,40,83,27.13,80.834,5.14,-20.4189,57.6953
105,211,2025-01-08,MV,Hithadhoo,17,74,27.48,81.464,1.25,-0.6,73.0833
106,532,2025-01-08,MZ,Ilha De Mocambique,45,79,27.68,81.824,5.29,-15.0342,40.7358
107,79,2025-01-08,MZ,Pemba,40,94,27.39,81.30199999999999,4.53,-12.974,40.5178
108,218,2025-01-08,MZ,Macia,100,97,23.79,74.822,2.4,-25.0269,33.0989
109,150,2025-01-08,,Opuwo,100,37,22.95,73.31,2.8,-18.0607,13.84
110,38,2025-01-08,,Luderitz,2,76,17.01,62.618,8.15,-26.6481,15.1594
111,508,2025-01-08,,Khorixas,100,35,20.23,68.414,4.8,-20.3667,14.9667
112,501,2025-01-08,,Swakopmund,99,83,17.21,62.978,0.89,-22.6833,14.5333
113,267,2025-01-08,NC,Tadine,34,51,25.8,78.44,3.68,-21.55,167.8833
114,377,2025-01-08,NC,Kone,99,56,25.74,78.332,1.55,-21.0595,164.8658
115,388,2025-01-08,NU,Alofi,75,89,26.94,80.492,2.06,-19.0595,-169.9187
116,51,2025-01-08,NZ,Dunedin,99,87,11.62,52.916,2.21,-45.8742,170.5036
117,127,2025-01-08,NZ,Papatowai,94,87,11.58,52.844,2.17,-46.5619,169.4708
118,230,2025-01-08,NZ,Kerikeri,27,67,22.73,72.914,2.68,-35.2268,173.9474
119,33,2025-01-08,NZ,Invercargill,90,84,13.9,57.02,0.89,-46.4,168.35
120,359,2025-01-08,NZ,New Plymouth,4,46,18.34,65.012,2.87,-39.0667,174.0833
121,84,2025-01-08,NZ,Christchurch,100,78,14.62,58.316,3.09,-43.5333,172.6333
122,1,2025-01-08,NZ,Waitangi,28,73,15.46,59.828,5.81,-43.9535,-176.5597
123,383,2025-01-08,PE,Chilca,34,81,21.68,71.024,3.32,-12.5211,-76.7372
124,503,2025-01-08,PE,Tambopata,75,100,23.94,75.092,2.06,-12.7333,-69.1833
125,540,2025-01-08,PE,Minas De Marcona,74,62,20.63,69.134,7.65,-15.2119,-75.1103
126,296,2025-01-08,PE,Oyon,82,69,7.4,45.32,4.18,-10.6681,-76.7731
127,498,2025-01-08,PE,Sechura,99,53,28.26,82.868,7.49,-5.5569,-80.8222
128,468,2025-01-08,PE,Callao,0,69,24.16,75.488,5.66,-12.0667,-77.15
129,200,2025-01-08,PF,Afaahiti,66,75,26.5,79.7,5.31,-17.75,-149.2833
130,422,2025-01-08,PF,Mahina,40,70,29.87,85.76599999999999,4.63,-17.5065,-149.489
131,53,2025-01-08,PF,Papao,32,73,29.82,85.676,4.07,-17.75,-149.55
132,153,2025-01-08,PF,Uturoa,44,70,27.61,81.69800000000001,3.81,-16.7333,-151.4333
133,284,2025-01-08,PG,Alotau,100,92,25.04,77.072,2.26,-10.3069,150.4462
134,73,2025-01-08,PG,Rabaul,79,77,27.33,81.19399999999999,2.68,-4.1967,152.1721
135,23,2025-01-08,PN,Adamstown,100,80,24.62,76.316,10.26,-25.066,-130.1015
136,105,2025-01-08,RE,Saint-Pierre,0,74,26.82,80.276,2.06,-21.3393,55.4781
137,487,2025-01-08,RE,Saint-Philippe,40,85,26.25,79.25,5.44,-21.3585,55.7679
138,199,2025-01-08,SB,Buala,99,84,27.49,81.482,4.36,-8.145,159.5921
139,421,2025-01-08,SB,Gizo,30,78,28.36,83.048,4.58,-8.103,156.8419
140,2,2025-01-08,SH,Edinburgh Of The Seven Seas,83,98,17.66,63.788,5.26,-37.0676,-12.3116
141,234,2025-01-08,SO,Kismayo,30,87,24.88,76.78399999999999,5.21,-0.3582,42.5454
142,25,2025-01-08,TF,Port-Aux-Francais,15,90,5.64,42.152,8.26,-49.35,70.2167
143,68,2025-01-08,TK,Atafu Village,100,72,27.68,81.824,8.57,-8.5421,-172.5159
144,130,2025-01-08,TK,Fale Old Settlement,100,71,27.96,82.328,9.12,-9.3852,-171.2468
145,352,2025-01-08,TL,Lospalos,100,90,23.11,73.598,0.08,-8.5186,127.0025
146,66,2025-01-08,TO,Nuku'Alofa,75,74,27.19,80.94200000000001,4.12,-21.1333,-175.2
147,402,2025-01-08,TZ,Malangali,100,87,18.58,65.44399999999999,1.88,-8.5667,34.85
148,527,2025-01-08,TZ,Malinyi,96,84,23.54,74.372,1.35,-8.9333,36.1333
149,489,2025-01-08,TZ,Galappo,81,62,19.89,67.80199999999999,1.51,-4.2667,35.85
150,373,2025-01-08,TZ,Kilindoni,71,74,27.3,81.14,5.7,-7.9139,39.6668
151,208,2025-01-08,VU,Isangel,36,55,26.28,79.304,5.09,-19.55,169.2667
152,276,2025-01-08,VU,Sola,50,80,27.2,80.96,3.64,-13.8833,167.55
153,140,2025-01-08,VU,Luganville,50,83,26.85,80.33,2.44,-15.5333,167.1667
154,43,2025-01-08,YT,Koungou,0,78,27.84,82.112,2.57,-12.7336,45.2042
155,9,2025-01-08,ZA,Bredasdorp,0,80,17.82,64.076,1.46,-34.5322,20.0403
156,453,2025-01-08,ZA,Saldanha,0,87,18.03,64.45400000000001,3.97,-33.0117,17.9442
157,379,2025-01-08,ZA,Richards Bay,100,82,22.74,72.932,3.01,-28.783,32.0377
158,250,2025-01-08,ZA,Knysna,0,84,18.32,64.976,1.24,-34.0363,23.0471
159,160,2025-01-08,ZA,East London,25,81,20.36,68.648,1.78,-33.0153,27.9116
160,538,2025-01-08,ZA,Graaff-Reinet,0,65,18.29,64.922,2.3,-32.2522,24.5308
161,103,2025-01-08,ZA,Queenstown,68,85,15.49,59.882,3.88,-31.8976,26.8753
162,392,2025-01-08,ZA,Kruisfontein,0,86,16.32,61.376,1.99,-34.0033,24.7314
163,138,2025-01-08,ZA,Hermanus,5,81,19.89,67.80199999999999,2.44,-34.4187,19.2345
164,21,2025-01-08,ZA,Port Elizabeth,0,94,19.06,66.30799999999999,2.57,-33.918,25.5701
165,270,2025-01-08,ZA,Port Alfred,21,92,18.43,65.174,3.12,-33.5906,26.891
166,313,2025-01-08,ZW,Mount Darwin,98,94,19.96,67.928,0.73,-16.7725,31.5838
